Sequence+H1A1:H1,Source,Feature,Start,End,Score,Strand,Frame,Attributes,,,,,,,,
Contig_1_238.051,Local,region,1,3386,.,+,.,ID=Contig_1_238.051:1..3386;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_M547,,,,,,,,
Contig_1_238.051,.,gene,292,1053,.,+,.,ID=gene-pgaptmp_000122;Name=pgaptmp_000122;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000122,,,,,,,,
Contig_1_238.051,Protein Homology,CDS,292,1053,.,+,0,ID=cds-pgaptmp_000122;Parent=gene-pgaptmp_000122;Name=extdb:pgaptmp_000122;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874725.1;locus_tag=pgaptmp_000122;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000122;transl_table=4,,,,,,,,
Contig_1_238.051,.,gene,1185,1727,.,-,.,ID=gene-pgaptmp_000123;Name=pgaptmp_000123;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000123,,,,,,,,
Contig_1_238.051,Protein Homology,CDS,1185,1727,.,-,0,ID=cds-pgaptmp_000123;Parent=gene-pgaptmp_000123;Name=extdb:pgaptmp_000123;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874724.1;locus_tag=pgaptmp_000123;product=DUF16 domain-containing protein;protein_id=extdb:pgaptmp_000123;transl_table=4,,,,,,,,
Contig_1_238.051,.,pseudogene,2122,3386,.,-,.,ID=gene-pgaptmp_000124;Name=mgpC;gbkey=Gene;gene=mgpC;gene_biotype=pseudogene;locus_tag=pgaptmp_000124;pseudo=true,,,,,,,,
Contig_1_238.051,Protein Homology,CDS,2122,3386,.,-,0,ID=cds-pgaptmp_000124;Parent=gene-pgaptmp_000124;Note=frameshifted%3B incomplete%3B missing N-terminus;gbkey=CDS;gene=mgpC;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874499.1;locus_tag=pgaptmp_000124;product=cytadherence protein MgpC;pseudo=true;transl_table=4,,,,,,,,
Contig_2_126.947,Local,region,1,18593,.,+,.,ID=Contig_2_126.947:1..18593;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_M547,,,,,,,,
Contig_2_126.947,.,pseudogene,298,951,.,-,.,ID=gene-pgaptmp_000210;Name=pgaptmp_000210;gbkey=Gene;gene_biotype=pseudogene;locus_tag=pgaptmp_000210;pseudo=true,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,298,951,.,-,0,ID=cds-pgaptmp_000210;Parent=gene-pgaptmp_000210;Note=incomplete%3B partial in the middle of a contig%3B missing C-terminus;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874489.1;locus_tag=pgaptmp_000210;product=adhesin;pseudo=true;transl_table=4,,,,,,,,
Contig_2_126.947,.,pseudogene,1351,1836,.,-,.,ID=gene-pgaptmp_000211;Name=pgaptmp_000211;gbkey=Gene;gene_biotype=pseudogene;locus_tag=pgaptmp_000211;pseudo=true,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,1351,1836,.,-,0,ID=cds-pgaptmp_000211;Parent=gene-pgaptmp_000211;Note=incomplete%3B partial in the middle of a contig%3B missing C-terminus;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF015230.2;locus_tag=pgaptmp_000211;product=adhesin;pseudo=true;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,1966,4248,.,-,.,ID=gene-pgaptmp_000212;Name=pgaptmp_000212;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000212,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,1966,4248,.,-,0,ID=cds-pgaptmp_000212;Parent=gene-pgaptmp_000212;Name=extdb:pgaptmp_000212;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325517.1;locus_tag=pgaptmp_000212;product=P80 family lipoprotein;protein_id=extdb:pgaptmp_000212;transl_table=4,,,,,,,,
Contig_2_126.947,.,pseudogene,4476,7115,.,+,.,ID=gene-pgaptmp_000213;Name=pgaptmp_000213;gbkey=Gene;gene_biotype=pseudogene;locus_tag=pgaptmp_000213;pseudo=true,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,4476,7115,.,+,0,ID=cds-pgaptmp_000213;Parent=gene-pgaptmp_000213;Note=internal stop;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874763.1;locus_tag=pgaptmp_000213;product=SGNH/GDSL hydrolase family protein;pseudo=true;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,7155,7229,.,-,.,ID=gene-pgaptmp_000214;Name=pgaptmp_000214;gbkey=Gene;gene_biotype=tRNA;locus_tag=pgaptmp_000214,,,,,,,,
Contig_2_126.947,tRNAscan-SE,tRNA,7155,7229,.,-,.,ID=rna-pgaptmp_000214;Parent=gene-pgaptmp_000214;anticodon=(pos:complement(7195..7197));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000214;product=tRNA-Trp,,,,,,,,
Contig_2_126.947,tRNAscan-SE,exon,7155,7229,.,-,.,ID=exon-pgaptmp_000214-1;Parent=rna-pgaptmp_000214;anticodon=(pos:complement(7195..7197));gbkey=tRNA;inference=COORDINATES: profile:tRNAscan-SE:2.0.7;locus_tag=pgaptmp_000214;product=tRNA-Trp,,,,,,,,
Contig_2_126.947,.,gene,7220,7474,.,-,.,ID=gene-pgaptmp_000215;Name=pgaptmp_000215;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000215,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,7220,7474,.,-,0,ID=cds-pgaptmp_000215;Parent=gene-pgaptmp_000215;Name=extdb:pgaptmp_000215;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874762.1;locus_tag=pgaptmp_000215;product=phosphopantetheine-binding protein;protein_id=extdb:pgaptmp_000215;transl_table=4,,,,,,,,
Contig_2_126.947,.,gene,7509,8102,.,-,.,ID=gene-pgaptmp_000216;Name=pgaptmp_000216;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000216,,,,,,,,
Contig_2_126.947,Protein Homology,CDS,7509,8102,.,-,0,ID=cds-pgaptmp_000216;Parent=gene-pgaptmp_000216;Name=extdb:pgaptmp_000216;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874761.1;locus_tag=pgaptmp_000216;product=DUF5452 family protein;protein_id=extdb:pgaptmp_000216;transl_table=4,,,,,,,,
