Sequence+H1A1:H1,Source,Feature,Start,End,Score,Strand,Frame,Attributes,,,,,,,,
Contig_1_130.259,Local,region,1,32470,.,+,.,ID=Contig_1_130.259:1..32470;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_5954,,,,,,,,
Contig_1_130.259,.,gene,1,706,.,+,.,ID=gene-pgaptmp_000160;Name=pgaptmp_000160;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000160;partial=true;start_range=.,1,,,,,,,
Contig_1_130.259,Protein Homology,CDS,1,706,.,+,1,ID=cds-pgaptmp_000160;Parent=gene-pgaptmp_000160;Name=extdb:pgaptmp_000160;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014575044.1;locus_tag=pgaptmp_000160;partial=true;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000160;start_range=.,1;transl_table=4,,,,,,,
Contig_1_130.259,.,gene,709,1560,.,+,.,ID=gene-pgaptmp_000161;Name=pgaptmp_000161;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000161,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,709,1560,.,+,0,ID=cds-pgaptmp_000161;Parent=gene-pgaptmp_000161;Name=extdb:pgaptmp_000161;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325657.1;locus_tag=pgaptmp_000161;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000161;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,1565,2389,.,+,.,ID=gene-pgaptmp_000162;Name=pgaptmp_000162;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000162,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,1565,2389,.,+,0,ID=cds-pgaptmp_000162;Parent=gene-pgaptmp_000162;Name=extdb:pgaptmp_000162;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_015344929.1;locus_tag=pgaptmp_000162;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000162;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,2389,3228,.,+,.,ID=gene-pgaptmp_000163;Name=pgaptmp_000163;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000163,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,2389,3228,.,+,0,ID=cds-pgaptmp_000163;Parent=gene-pgaptmp_000163;Name=extdb:pgaptmp_000163;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874999.1;locus_tag=pgaptmp_000163;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000163;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,3231,4061,.,+,.,ID=gene-pgaptmp_000164;Name=pgaptmp_000164;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000164,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,3231,4061,.,+,0,ID=cds-pgaptmp_000164;Parent=gene-pgaptmp_000164;Name=extdb:pgaptmp_000164;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874998.1;locus_tag=pgaptmp_000164;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000164;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,4061,4963,.,+,.,ID=gene-pgaptmp_000165;Name=pgaptmp_000165;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000165,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,4061,4963,.,+,0,ID=cds-pgaptmp_000165;Parent=gene-pgaptmp_000165;Name=extdb:pgaptmp_000165;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874997.1;locus_tag=pgaptmp_000165;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000165;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,4983,5834,.,+,.,ID=gene-pgaptmp_000166;Name=pgaptmp_000166;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000166,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,4983,5834,.,+,0,ID=cds-pgaptmp_000166;Parent=gene-pgaptmp_000166;Name=extdb:pgaptmp_000166;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014575040.1;locus_tag=pgaptmp_000166;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000166;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,5831,6958,.,-,.,ID=gene-pgaptmp_000167;Name=pgaptmp_000167;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000167,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,5831,6958,.,-,0,ID=cds-pgaptmp_000167;Parent=gene-pgaptmp_000167;Name=extdb:pgaptmp_000167;Ontology_term=GO:0006304;gbkey=CDS;go_process=DNA modification|0006304||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874995.1;locus_tag=pgaptmp_000167;product=restriction endonuclease subunit S;protein_id=extdb:pgaptmp_000167;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,6978,8165,.,-,.,ID=gene-pgaptmp_000168;Name=pgaptmp_000168;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000168,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,6978,8165,.,-,0,ID=cds-pgaptmp_000168;Parent=gene-pgaptmp_000168;Name=extdb:pgaptmp_000168;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325651.1;locus_tag=pgaptmp_000168;product=phosphatidate cytidylyltransferase;protein_id=extdb:pgaptmp_000168;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,8165,8719,.,-,.,ID=gene-pgaptmp_000169;Name=frr;gbkey=Gene;gene=frr;gene_biotype=protein_coding;locus_tag=pgaptmp_000169,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,8165,8719,.,-,0,ID=cds-pgaptmp_000169;Parent=gene-pgaptmp_000169;Name=extdb:pgaptmp_000169;Ontology_term=GO:0006412,GO:0008135,GO:0005737;gbkey=CDS;gene=frr;go_component=cytoplasm|0005737||IEA;go_function=translation factor activity%2C RNA binding|0008135||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325650.1;locus_tag=pgaptmp_000169;product=ribosome recycling factor;protein_id=extdb:pgaptmp_000169;transl_table=4,,,,,,
Contig_1_130.259,.,gene,8796,10082,.,-,.,ID=gene-pgaptmp_000170;Name=pgaptmp_000170;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000170,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,8796,10082,.,-,0,ID=cds-pgaptmp_000170;Parent=gene-pgaptmp_000170;Name=extdb:pgaptmp_000170;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF024977.2;locus_tag=pgaptmp_000170;product=hypothetical protein;protein_id=extdb:pgaptmp_000170;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,10410,11780,.,-,.,ID=gene-pgaptmp_000171;Name=pgaptmp_000171;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000171,,,,,,,,
Contig_1_130.259,Protein Homology,CDS,10410,11780,.,-,0,ID=cds-pgaptmp_000171;Parent=gene-pgaptmp_000171;Name=extdb:pgaptmp_000171;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532959.1;locus_tag=pgaptmp_000171;product=ATP-binding protein;protein_id=extdb:pgaptmp_000171;transl_table=4,,,,,,,,
Contig_1_130.259,.,gene,11883,12611,.,-,.,ID=gene-pgaptmp_000172;Name=pyrH;gbkey=Gene;gene=pyrH;gene_biotype=protein_coding;locus_tag=pgaptmp_000172,,,,,,,,
