Sequence+H1A1:H1,Source,Feature,Start,End,Score,Strand,Frame,Attributes,,,,,,,,
Contig_1_134.497,Local,region,1,43780,.,+,.,ID=Contig_1_134.497:1..43780;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_6009,,,,,,,,
Contig_1_134.497,.,pseudogene,1,2335,.,+,.,ID=gene-pgaptmp_000078;Name=pgaptmp_000078;gbkey=Gene;gene_biotype=pseudogene;locus_tag=pgaptmp_000078;pseudo=true,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,1,2335,.,+,2,ID=cds-pgaptmp_000078;Parent=gene-pgaptmp_000078;Note=frameshifted%3B incomplete%3B missing N-terminus;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325380.1;locus_tag=pgaptmp_000078;product=P80 family lipoprotein;pseudo=true;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,2422,5763,.,+,.,ID=gene-pgaptmp_000079;Name=pgaptmp_000079;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000079,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,2422,5763,.,+,0,ID=cds-pgaptmp_000079;Parent=gene-pgaptmp_000079;Name=extdb:pgaptmp_000079;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874510.1;locus_tag=pgaptmp_000079;product=AAA domain-containing protein;protein_id=extdb:pgaptmp_000079;transl_table=4,,,,,,,,
Contig_1_134.497,.,pseudogene,5760,7462,.,+,.,ID=gene-pgaptmp_000080;Name=nusA;gbkey=Gene;gene=nusA;gene_biotype=pseudogene;locus_tag=pgaptmp_000080;pseudo=true,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,5760,7462,.,+,0,ID=cds-pgaptmp_000080;Parent=gene-pgaptmp_000080;Note=frameshifted;Ontology_term=GO:0006353;gbkey=CDS;gene=nusA;go_process=DNA-templated transcription%2C termination|0006353||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009885827.1;locus_tag=pgaptmp_000080;product=transcription termination factor NusA;pseudo=true;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,7544,7756,.,+,.,ID=gene-pgaptmp_000081;Name=pgaptmp_000081;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000081,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,7544,7756,.,+,0,ID=cds-pgaptmp_000081;Parent=gene-pgaptmp_000081;Name=extdb:pgaptmp_000081;gbkey=CDS;inference=COORDINATES: protein motif:HMM:NF016204.2;locus_tag=pgaptmp_000081;product=DUF448 domain-containing protein;protein_id=extdb:pgaptmp_000081;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,7743,9596,.,+,.,ID=gene-pgaptmp_000082;Name=infB;gbkey=Gene;gene=infB;gene_biotype=protein_coding;locus_tag=pgaptmp_000082,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,7743,9596,.,+,0,ID=cds-pgaptmp_000082;Parent=gene-pgaptmp_000082;Name=extdb:pgaptmp_000082;Ontology_term=GO:0006413,GO:0003743,GO:0005737;gbkey=CDS;gene=infB;go_component=cytoplasm|0005737||IEA;go_function=translation initiation factor activity|0003743||IEA;go_process=translational initiation|0006413||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532912.1;locus_tag=pgaptmp_000082;product=translation initiation factor IF-2;protein_id=extdb:pgaptmp_000082;transl_table=4,,,,,,
Contig_1_134.497,.,gene,9599,9949,.,+,.,ID=gene-pgaptmp_000083;Name=rbfA;gbkey=Gene;gene=rbfA;gene_biotype=protein_coding;locus_tag=pgaptmp_000083,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,9599,9949,.,+,0,ID=cds-pgaptmp_000083;Parent=gene-pgaptmp_000083;Name=extdb:pgaptmp_000083;Ontology_term=GO:0006396,GO:0019843;gbkey=CDS;gene=rbfA;go_function=rRNA binding|0019843||IEA;go_process=RNA processing|0006396||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874513.1;locus_tag=pgaptmp_000083;product=30S ribosome-binding factor RbfA;protein_id=extdb:pgaptmp_000083;transl_table=4,,,,,,,
Contig_1_134.497,.,gene,9965,11173,.,+,.,ID=gene-pgaptmp_000084;Name=pgaptmp_000084;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000084,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,9965,11173,.,+,0,ID=cds-pgaptmp_000084;Parent=gene-pgaptmp_000084;Name=extdb:pgaptmp_000084;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532913.1;locus_tag=pgaptmp_000084;product=hypothetical protein;protein_id=extdb:pgaptmp_000084;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,11186,11995,.,+,.,ID=gene-pgaptmp_000085;Name=ribF;gbkey=Gene;gene=ribF;gene_biotype=protein_coding;locus_tag=pgaptmp_000085,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,11186,11995,.,+,0,ID=cds-pgaptmp_000085;Parent=gene-pgaptmp_000085;Name=extdb:pgaptmp_000085;Ontology_term=GO:0006747,GO:0009398,GO:0003919,GO:0005737;gbkey=CDS;gene=ribF;go_component=cytoplasm|0005737||IEA;go_function=FMN adenylyltransferase activity|0003919||IEA;go_process=FAD biosynthetic process|0006747||IEA,FMN biosynthetic process|0009398||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325383.1;locus_tag=pgaptmp_000085;product=riboflavin biosynthesis protein RibF;protein_id=extdb:pgaptmp_000085;transl_table=4,,,,
Contig_1_134.497,.,gene,12021,13295,.,+,.,ID=gene-pgaptmp_000086;Name=pgaptmp_000086;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000086,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,12021,13295,.,+,0,ID=cds-pgaptmp_000086;Parent=gene-pgaptmp_000086;Name=extdb:pgaptmp_000086;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874516.1;locus_tag=pgaptmp_000086;product=hemolysin family protein;protein_id=extdb:pgaptmp_000086;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,13282,14415,.,+,.,ID=gene-pgaptmp_000087;Name=pgaptmp_000087;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000087,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,13282,14415,.,+,0,ID=cds-pgaptmp_000087;Parent=gene-pgaptmp_000087;Name=extdb:pgaptmp_000087;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874517.1;locus_tag=pgaptmp_000087;product=hypothetical protein;protein_id=extdb:pgaptmp_000087;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,14569,15906,.,+,.,ID=gene-pgaptmp_000088;Name=pgaptmp_000088;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000088,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,14569,15906,.,+,0,ID=cds-pgaptmp_000088;Parent=gene-pgaptmp_000088;Name=extdb:pgaptmp_000088;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325384.1;locus_tag=pgaptmp_000088;product=DUF2130 domain-containing protein;protein_id=extdb:pgaptmp_000088;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,16028,16990,.,+,.,ID=gene-pgaptmp_000089;Name=pgaptmp_000089;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000089,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,16028,16990,.,+,0,ID=cds-pgaptmp_000089;Parent=gene-pgaptmp_000089;Name=extdb:pgaptmp_000089;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014574899.1;locus_tag=pgaptmp_000089;product=hypothetical protein;protein_id=extdb:pgaptmp_000089;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,17189,17575,.,+,.,ID=gene-pgaptmp_000090;Name=pgaptmp_000090;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000090,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,17189,17575,.,+,0,ID=cds-pgaptmp_000090;Parent=gene-pgaptmp_000090;Name=extdb:pgaptmp_000090;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014574900.1;locus_tag=pgaptmp_000090;product=hypothetical protein;protein_id=extdb:pgaptmp_000090;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,17669,17995,.,+,.,ID=gene-pgaptmp_000091;Name=rpsJ;gbkey=Gene;gene=rpsJ;gene_biotype=protein_coding;locus_tag=pgaptmp_000091,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,17669,17995,.,+,0,ID=cds-pgaptmp_000091;Parent=gene-pgaptmp_000091;Name=extdb:pgaptmp_000091;Ontology_term=GO:0006412,GO:0003735,GO:0000314,GO:0022627;gbkey=CDS;gene=rpsJ;go_component=organellar small ribosomal subunit|0000314||IEA,cytosolic small ribosomal subunit|0022627||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_009885835.1;locus_tag=pgaptmp_000091;product=30S ribosomal protein S10;protein_id=extdb:pgaptmp_000091;transl_table=4,,,,
Contig_1_134.497,.,gene,18009,18872,.,+,.,ID=gene-pgaptmp_000092;Name=rplC;gbkey=Gene;gene=rplC;gene_biotype=protein_coding;locus_tag=pgaptmp_000092,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,18009,18872,.,+,0,ID=cds-pgaptmp_000092;Parent=gene-pgaptmp_000092;Name=extdb:pgaptmp_000092;Ontology_term=GO:0006412,GO:0003735,GO:0005840;gbkey=CDS;gene=rplC;go_component=ribosome|0005840||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874522.1;locus_tag=pgaptmp_000092;product=50S ribosomal protein L3;protein_id=extdb:pgaptmp_000092;transl_table=4,,,,,,
Contig_1_134.497,.,gene,18872,19510,.,+,.,ID=gene-pgaptmp_000093;Name=rplD;gbkey=Gene;gene=rplD;gene_biotype=protein_coding;locus_tag=pgaptmp_000093,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,18872,19510,.,+,0,ID=cds-pgaptmp_000093;Parent=gene-pgaptmp_000093;Name=extdb:pgaptmp_000093;Ontology_term=GO:0006412,GO:0003735,GO:0022625;gbkey=CDS;gene=rplD;go_component=cytosolic large ribosomal subunit|0022625||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874523.1;locus_tag=pgaptmp_000093;product=50S ribosomal protein L4;protein_id=extdb:pgaptmp_000093;transl_table=4,,,,,,
Contig_1_134.497,.,gene,19513,20226,.,+,.,ID=gene-pgaptmp_000094;Name=pgaptmp_000094;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000094,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,19513,20226,.,+,0,ID=cds-pgaptmp_000094;Parent=gene-pgaptmp_000094;Name=extdb:pgaptmp_000094;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874524.1;locus_tag=pgaptmp_000094;product=50S ribosomal protein L23;protein_id=extdb:pgaptmp_000094;transl_table=4,,,,,,,,
Contig_1_134.497,.,gene,20226,21089,.,+,.,ID=gene-pgaptmp_000095;Name=rplB;gbkey=Gene;gene=rplB;gene_biotype=protein_coding;locus_tag=pgaptmp_000095,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,20226,21089,.,+,0,ID=cds-pgaptmp_000095;Parent=gene-pgaptmp_000095;Name=extdb:pgaptmp_000095;Ontology_term=GO:0006412,GO:0003735,GO:0000315,GO:0022625;gbkey=CDS;gene=rplB;go_component=organellar large ribosomal subunit|0000315||IEA,cytosolic large ribosomal subunit|0022625||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874525.1;locus_tag=pgaptmp_000095;product=50S ribosomal protein L2;protein_id=extdb:pgaptmp_000095;transl_table=4,,,,
Contig_1_134.497,.,gene,21089,21352,.,+,.,ID=gene-pgaptmp_000096;Name=rpsS;gbkey=Gene;gene=rpsS;gene_biotype=protein_coding;locus_tag=pgaptmp_000096,,,,,,,,
Contig_1_134.497,Protein Homology,CDS,21089,21352,.,+,0,ID=cds-pgaptmp_000096;Parent=gene-pgaptmp_000096;Name=extdb:pgaptmp_000096;Ontology_term=GO:0006412,GO:0003735,GO:0000314,GO:0022627;gbkey=CDS;gene=rpsS;go_component=organellar small ribosomal subunit|0000314||IEA,cytosolic small ribosomal subunit|0022627||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874526.1;locus_tag=pgaptmp_000096;product=30S ribosomal protein S19;protein_id=extdb:pgaptmp_000096;transl_table=4,,,,
Contig_1_134.497,.,gene,21354,21833,.,+,.,ID=gene-pgaptmp_000097;Name=rplV;gbkey=Gene;gene=rplV;gene_biotype=protein_coding;locus_tag=pgaptmp_000097,,,,,,,,
