Sequence+H1A1:H1,Source,Feature,Start,End,Score,Strand,Frame,Attributes,,,,,,,,
Contig_1_257.466,Local,region,1,2257,.,+,.,ID=Contig_1_257.466:1..2257;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_6282,,,,,,,,
Contig_1_257.466,.,gene,1,230,.,+,.,ID=gene-pgaptmp_000143;Name=pgaptmp_000143;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000143;partial=true;start_range=.,1,,,,,,,
Contig_1_257.466,GeneMarkS-2+,CDS,1,230,.,+,2,ID=cds-pgaptmp_000143;Parent=gene-pgaptmp_000143;Name=extdb:pgaptmp_000143;gbkey=CDS;inference=COORDINATES: ab initio prediction:GeneMarkS-2+;locus_tag=pgaptmp_000143;partial=true;product=hypothetical protein;protein_id=extdb:pgaptmp_000143;start_range=.,1;transl_table=4,,,,,,,
Contig_1_257.466,.,gene,364,1125,.,+,.,ID=gene-pgaptmp_000144;Name=pgaptmp_000144;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000144,,,,,,,,
Contig_1_257.466,Protein Homology,CDS,364,1125,.,+,0,ID=cds-pgaptmp_000144;Parent=gene-pgaptmp_000144;Name=extdb:pgaptmp_000144;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874725.1;locus_tag=pgaptmp_000144;product=MPN647 family lipoprotein;protein_id=extdb:pgaptmp_000144;transl_table=4,,,,,,,,
Contig_1_257.466,.,gene,1193,1573,.,-,.,ID=gene-pgaptmp_000145;Name=pgaptmp_000145;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000145,,,,,,,,
Contig_1_257.466,Protein Homology,CDS,1193,1573,.,-,0,ID=cds-pgaptmp_000145;Parent=gene-pgaptmp_000145;Name=extdb:pgaptmp_000145;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874860.1;locus_tag=pgaptmp_000145;product=DUF16 domain-containing protein;protein_id=extdb:pgaptmp_000145;transl_table=4,,,,,,,,
Contig_1_257.466,.,pseudogene,2036,2257,.,-,.,ID=gene-pgaptmp_000146;Name=pgaptmp_000146;gbkey=Gene;gene_biotype=pseudogene;locus_tag=pgaptmp_000146;pseudo=true,,,,,,,,
Contig_1_257.466,Protein Homology,CDS,2036,2257,.,-,0,ID=cds-pgaptmp_000146;Parent=gene-pgaptmp_000146;Note=incomplete%3B partial in the middle of a contig%3B missing N-terminus and C-terminus;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874499.1;locus_tag=pgaptmp_000146;product=MgpC family cytadherence protein;pseudo=true;transl_table=4,,,,,,,,
Contig_2_123.61,Local,region,1,92137,.,+,.,ID=Contig_2_123.61:1..92137;Dbxref=taxon:2104;Name=ANONYMOUS;gbkey=Src;genome=chromosome;mol_type=genomic DNA;strain=Mympn_6282,,,,,,,,
Contig_2_123.61,.,gene,342,1730,.,+,.,ID=gene-pgaptmp_000380;Name=mgpA;gbkey=Gene;gene=mgpA;gene_biotype=protein_coding;locus_tag=pgaptmp_000380,,,,,,,,
Contig_2_123.61,Protein Homology,CDS,342,1730,.,+,0,ID=cds-pgaptmp_000380;Parent=gene-pgaptmp_000380;Name=extdb:pgaptmp_000380;gbkey=CDS;gene=mgpA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874562.1;locus_tag=pgaptmp_000380;product=adhesin P1;protein_id=extdb:pgaptmp_000380;transl_table=4,,,,,,,,
Contig_2_123.61,.,gene,1785,2126,.,-,.,ID=gene-pgaptmp_000381;Name=pgaptmp_000381;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000381,,,,,,,,
Contig_2_123.61,Protein Homology,CDS,1785,2126,.,-,0,ID=cds-pgaptmp_000381;Parent=gene-pgaptmp_000381;Name=extdb:pgaptmp_000381;gbkey=CDS;inference=COORDINATES: similar to AA sequence:RefSeq:WP_010874563.1;locus_tag=pgaptmp_000381;product=hypothetical protein;protein_id=extdb:pgaptmp_000381;transl_table=4,,,,,,,,
Contig_2_123.61,.,gene,2178,5000,.,+,.,ID=gene-pgaptmp_000382;Name=pgaptmp_000382;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000382,,,,,,,,
Contig_2_123.61,Protein Homology,CDS,2178,5000,.,+,0,ID=cds-pgaptmp_000382;Parent=gene-pgaptmp_000382;Name=extdb:pgaptmp_000382;Ontology_term=GO:0009401;gbkey=CDS;go_process=phosphoenolpyruvate-dependent sugar phosphotransferase system|0009401||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_017532868.1;locus_tag=pgaptmp_000382;product=glucose PTS transporter subunit IIA;protein_id=extdb:pgaptmp_000382;transl_table=4,,,,,,,,
Contig_2_123.61,.,gene,5610,6494,.,+,.,ID=gene-pgaptmp_000383;Name=rpsB;gbkey=Gene;gene=rpsB;gene_biotype=protein_coding;locus_tag=pgaptmp_000383,,,,,,,,
Contig_2_123.61,Protein Homology,CDS,5610,6494,.,+,0,ID=cds-pgaptmp_000383;Parent=gene-pgaptmp_000383;Name=extdb:pgaptmp_000383;Ontology_term=GO:0006412,GO:0003735,GO:0000314,GO:0022627;gbkey=CDS;gene=rpsB;go_component=organellar small ribosomal subunit|0000314||IEA,cytosolic small ribosomal subunit|0022627||IEA;go_function=structural constituent of ribosome|0003735||IEA;go_process=translation|0006412||IEA;inference=COORDINATES: similar to AA sequence:RefSeq:WP_014325403.1;locus_tag=pgaptmp_000383;product=30S ribosomal protein S2;protein_id=extdb:pgaptmp_000383;transl_table=4,,,,
Contig_2_123.61,.,gene,6487,9105,.,+,.,ID=gene-pgaptmp_000384;Name=pgaptmp_000384;gbkey=Gene;gene_biotype=protein_coding;locus_tag=pgaptmp_000384,,,,,,,,
